h(theta) = g(z),J-theta1 when y = 1,J-theta2 when y = 0 
0.171,0.767003889607846,0.081445469449727
0.172,0.764471553092451,0.08196966321512
0.173,0.761953896871204,0.082494490447453
0.174,0.7594507517174,0.083019952679618
0.175,0.756961951313705,0.083546051450075
0.176,0.75448733218585,0.084072788302884
0.177,0.752026733638193,0.08460016478773
0.178,0.749579997691106,0.08512818245995
0.179,0.747146969020106,0.085656842880559
0.18,0.744727494896694,0.086186147616283
0.181,0.742321425130815,0.086716098239582
0.182,0.739928612014925,0.087246696328677
0.183,0.73754891026957,0.087777943467585
0.184,0.735182176990463,0.088309841246139
0.185,0.732828271596986,0.088842391260024
0.186,0.730487055782083,0.089375595110799
0.187,0.728158393463501,0.089909454405932
0.188,0.72584215073632,0.090443970758825
0.189,0.723538195826755,0.090979145788844
0.19,0.721246399047171,0.09151498112135
0.191,0.718966632752272,0.092051478387728
0.192,0.71669877129645,0.092588639225414
0.193,0.714442690992226,0.09312646527793
0.194,0.712198270069774,0.09366495819491
0.195,0.709965388637482,0.094204119632132
0.196,0.707743928643524,0.094743951251549
0.197,0.705533773838407,0.095284454721319
0.198,0.703334809738468,0.095825631715837
0.199,0.701146923590293,0.096367483915763
0.2,0.698970004336018,0.096910013008057
0.201,0.696803942579511,0.097453220686009
0.202,0.694648630553376,0.097997108649271
0.203,0.692503962086787,0.098541678603888
0.204,0.690369832574101,0.099086932262331
0.205,0.688246138944245,0.09963287134353
0.206,0.686132779630846,0.100179497572904
0.207,0.684029654543082,0.100726812682396
0.208,0.681936665037238,0.101274818410507
0.209,0.679853713888946,0.101823516502324
0.21,0.67778070526608,0.102372908709559
0.211,0.675717544702307,0.10292299679058
0.212,0.673664139071248,0.103473782510445
0.213,0.671620396561262,0.104025267640936
0.214,0.669586226650809,0.104577453960592
0.215,0.667561540084394,0.105130343254748
0.216,0.665546248849069,0.105683937315562
0.217,0.66354026615147,0.106238237942057
0.218,0.661543506395395,0.106793246940152
0.219,0.659555885159881,0.1073489661227
0.22,0.657577319177793,0.10790539730952
0.221,0.655607726314889,0.108462542327436
0.222,0.653647025549361,0.109020403010311
0.223,0.651695136951839,0.109578981199086
0.224,0.649751981665837,0.110138278741812
0.225,0.647817481888637,0.11069829749369
0.226,0.645891560852599,0.111259039317108
0.227,0.643974142806877,0.111820506081675
0.228,0.642065152999546,0.112382699664264
0.229,0.640164517660112,0.112945621949043
0.23,0.638272163982407,0.113509274827518
0.231,0.636388020107855,0.114073660198569
0.232,0.6345120151091,0.114638779968488
0.233,0.632644078973981,0.115204636051019
0.234,0.630784142589857,0.115771230367396
0.235,0.628932137728263,0.116338564846383
0.236,0.627087997029893,0.11690664142431
0.237,0.625251653989896,0.11747546204512
0.238,0.623423042943488,0.1180450286604
0.239,0.621602099051862,0.118615343229427
0.24,0.619788758288393,0.119186407719209
0.241,0.617982957425131,0.11975822410452
0.242,0.616184634019568,0.120330794367947
0.243,0.614393726401687,0.120904120499927
0.244,0.61261017366127,0.121478204498794
0.245,0.610833915635467,0.122053048370812
0.246,0.60906489289662,0.122628654130226
0.247,0.607303046740334,0.1232050237993
0.248,0.605548319173783,0.123782159408358
0.249,0.603800652904263,0.124360062995832
0.25,0.602059991327962,0.1249387366083
0.251,0.600326278518961,0.125518182300534
0.252,0.598599459218455,0.126098402135539
0.253,0.596879478824182,0.126679398184601
0.254,0.595166283380062,0.127261172527331
0.255,0.593459819566044,0.127843727251707
0.256,0.59176003468815,0.128427064454121
0.257,0.590066876668705,0.129011186239425
0.258,0.58838029403677,0.129596094720973
0.259,0.586700235918748,0.130181792020672
0.26,0.585026652029182,0.130768280269024
0.261,0.583359492661719,0.131355561605174
0.262,0.581698708680254,0.131943638176959
0.263,0.580044251510242,0.132532512140949
